日時,企業名,自己紹介,質問1,質問2,質問3
2025-08-05 14:11:17,資生堂,"思わず手に取った商品...",資生堂という化粧品メーカーに興味を持った経緯は何ですか？,キャンメイクの商品を選んで購入した理由や試してみての感想を教えてください。,
2025-08-05 14:11:51,NEC,"ITの力で社会課題を解決...",NECの公共性の高いプロジェクトや自治体DXに関わる取り組みについて、どのような具体的なやり方や成果が期待されると考えていますか？,貴社のビジョンに共感するとおっしゃっていますが、具体的にどのような課題を解決するためのITソリューションに興味がありますか？,
2025-08-05 14:19:06,TIS,"ITの力で社会課題を解決...",TISが取り組む自治体DXなど公共性の高いプロジェクトに興味を持ったきっかけは何ですか？,ITの力を活用して社会課題解決に貢献するという理念に共感する一番の理由は何ですか？,
2025-08-05 14:19:34,コーセー,"私が思わず手に取った商品...",コーセーを志望する理由は何ですか？,自分のメイクアップ製品に対する関心や評価基準はどのようなものですか？,2025-08-05 14:43:26,バンダイ,クリエイティブ,想定質問：,1. バンダイでのクリエイティブな仕事に興味を持ったきっかけは何ですか？,2. クリエイティブな分野での経験やスキルを活かし、どのようにバンダイに貢献したいと考えていますか？
2025-08-05 14:44:28,SCSk,新しいことをするのが好き,想定質問：,,1. SCSkに応募する理由は何ですか？
2025-08-05 14:46:56,資生堂,クリエイティブ,1. 「資生堂のクリエイティブ職を志望する理由は何ですか？」,2. 「過去にどのようなクリエイティブなプロジェクトに携わりましたか？その経験から得られた学びはありますか？」,3. 「資生堂のクリエイティブ職で活躍するために必要な能力やスキルについて、どのように自己成長していますか？」
2025-08-05 15:06:31,TIS,私は人と関わりながら課題を解決することが好きで、マーケティング分析を通じてお客様の悩みを見つけ出し解決したいと考えています。例えば、どんな広告が効果的かをデータで分析し、効果の高い施策を企画・提案するなど、マーケティングに活かしたいです。IT業界は幅広い業界に貢献でき、生活や仕事の基盤を支える存在です。自分の提案や工夫が多くの人の役に立つことにやりがいを感じ、成長できる環境だと考えています。,想定質問：,1. TISという企業を選んだ理由は何ですか？,2. マーケティング分析を通じてお客様の悩みを解決したいとおっしゃっていますが、その具体的な方法や経験はありますか？
2025-08-05 15:10:04,TIS,"目ーケティングがしたい
",想定質問：,1. TISを選ぶ理由は何ですか？,2. マーケティングに興味を持ったきっかけは何ですか？
2025-08-05 15:31:21,資生堂,協調性がある,想定質問:,1. 資生堂では、協調性が重要な価値観として掲げられています。あなたが協調性を発揮した経験を具体的に教えてください。,2. 資生堂は多様な人材との協力を大切にしています。あなたが多様性を活かしてチームで働くことにどのような価値を見出していますか？
2025-08-05 15:46:57,TIS,"猫が好き
",想定質問：,1. TISに興味を持ったきっかけは何ですか？,2. 今までの猫の経験を活かせる点は何ですか？
2025-08-05 15:54:30,資生堂,リーダーシップがある,想定質問：,1. リーダーシップを発揮した際の具体的な経験やエピソードはありますか？,2. チームをリードする際に工夫した点や成功体験があれば教えてください。
2025-08-05 15:58:15,kao,活発である,想定質問：,なぜ活発さが強みとなるのだと考えますか？,どのように活発さを活かして、チームでの協力や成果を上げることができると思いますか？
